Postal District,P1
10-Jan,334.52
10-Feb,319.77
10-Mar,369.85
10-Apr,340.87
10-May,338.11
10-Jun,414.3
10-Jul,434.79
10-Aug,413.42
10-Sep,417.83
10-Oct,388.77
10-Nov,326.53
10-Dec,339.95
11-Jan,306.23
11-Feb,295.38
11-Mar,305.11
11-Apr,284.85
11-May,324.02
11-Jun,300.3
11-Jul,325.17
11-Aug,316.74
11-Sep,153.24
11-Oct,311.97
11-Nov,538.11
11-Dec,288.19
12-Jan,284.98
12-Feb,289.14
12-Mar,248.83
12-Apr,310.87
12-May,309.73
12-Jun,323.91
12-Jul,380.21
12-Aug,366.61
12-Sep,339.38
12-Oct,343.24
12-Nov,393.53
12-Dec,385.81
13-Jan,426.89
13-Feb,439.3
13-Mar,425.48
13-Apr,429.93
13-May,365.49
13-Jun,395.58
13-Jul,378.78
13-Aug,432.64
13-Sep,393.19
13-Oct,354.37
13-Nov,208.59
13-Dec,234.61
14-Jan,172.38
14-Feb,173.96
14-Mar,183.62
14-Apr,152.5
14-May,153.73
14-Jun,156.35
14-Jul,158.75
14-Aug,139.21
14-Sep,172.83
14-Oct,103.89
14-Nov,146.34
14-Dec,168.75
15-Jan,173.24
15-Feb,160.49
15-Mar,144.92
15-Apr,136.33
15-May,159.13
15-Jun,1014.42
